STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,wst_oper,Waste management operations,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CY,Cyprus,2010,,46,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CY,Cyprus,2012,,34,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CY,Cyprus,2014,,31,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CY,Cyprus,2016,,31,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CY,Cyprus,2018,,32,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CY,Cyprus,2020,,44,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CZ,Czechia,2010,,50,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CZ,Czechia,2012,,58,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CZ,Czechia,2014,,60,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CZ,Czechia,2016,,60,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CZ,Czechia,2018,,61,,b,break in time series,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,CZ,Czechia,2020,,59,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DE,Germany,2010,,55,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DE,Germany,2012,,54,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DE,Germany,2014,,53,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DE,Germany,2016,,,,,,C,confidential
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DE,Germany,2018,,53,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DE,Germany,2020,,55,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DK,Denmark,2010,,56,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DK,Denmark,2012,,59,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DK,Denmark,2014,,60,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DK,Denmark,2016,,61,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DK,Denmark,2018,,59,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,DK,Denmark,2020,,63,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EE,Estonia,2010,,22,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EE,Estonia,2012,,25,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EE,Estonia,2014,,19,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EE,Estonia,2016,,10,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EL,Greece,2018,,27,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,ES,Spain,2010,,44,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,ES,Spain,2012,,46,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,ES,Spain,2014,,46,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,ES,Spain,2016,,46,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,ES,Spain,2018,,47,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,ES,Spain,2020,,48,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2010,,53,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2012,,53,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2014,,54,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2016,,55,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2018,,56,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2020,,58,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2022,,56,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FI,Finland,2010,,33,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FI,Finland,2012,,41,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FI,Finland,2014,,41,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FI,Finland,2016,,37,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FI,Finland,2018,,37,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FI,Finland,2020,,40,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FR,France,2010,,50,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FR,France,2012,,51,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FR,France,2014,,53,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FR,France,2016,,54,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FR,France,2018,,52,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,FR,France,2020,,47,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HR,Croatia,2010,,26,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HR,Croatia,2012,,35,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HR,Croatia,2014,,47,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HR,Croatia,2016,,52,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HR,Croatia,2018,,56,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HR,Croatia,2020,,60,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HU,Hungary,2010,,36,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HU,Hungary,2012,,35,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HU,Hungary,2014,,40,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HU,Hungary,2016,,43,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HU,Hungary,2018,,49,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,HU,Hungary,2020,,54,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,IE,Ireland,2010,,36,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,IE,Ireland,2012,,37,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,IE,Ireland,2014,,45,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,IE,Ireland,2016,,41,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,IE,Ireland,2018,,41,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,IT,Italy,2010,,60,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,IT,Italy,2012,,64,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,IT,Italy,2014,,67,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,IT,Italy,2016,,68,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,IT,Italy,2018,,67,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,IT,Italy,2020,,72,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LT,Lithuania,2010,,50,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LT,Lithuania,2012,,51,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LT,Lithuania,2014,,57,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LT,Lithuania,2016,,68,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LT,Lithuania,2018,,72,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LU,Luxembourg,2010,,87,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LU,Luxembourg,2012,,77,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LU,Luxembourg,2014,,62,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LU,Luxembourg,2016,,64,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LU,Luxembourg,2018,,70,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LU,Luxembourg,2020,,71,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LV,Latvia,2018,,50,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,LV,Latvia,2020,,70,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,MT,Malta,2010,,24,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,MT,Malta,2012,,28,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,MT,Malta,2014,,27,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,MT,Malta,2016,,42,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,MT,Malta,2018,,28,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,MT,Malta,2020,,25,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,NL,Netherlands,2010,,71,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,NL,Netherlands,2012,,71,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,NL,Netherlands,2014,,72,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,NL,Netherlands,2016,,72,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,NL,Netherlands,2018,,66,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,NL,Netherlands,2020,,74,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PL,Poland,2010,,58,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PL,Poland,2012,,55,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PL,Poland,2014,,60,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PL,Poland,2016,,56,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PL,Poland,2018,,60,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PL,Poland,2020,,52,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PT,Portugal,2010,,47,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PT,Portugal,2012,,49,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PT,Portugal,2014,,54,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PT,Portugal,2016,,52,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PT,Portugal,2018,,40,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,PT,Portugal,2020,,39,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,RO,Romania,2010,,26,,d,definition differs (see metadata),,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,RO,Romania,2012,,28,,d,definition differs (see metadata),,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,RO,Romania,2014,,27,,d,definition differs (see metadata),,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,RO,Romania,2016,,30,,d,definition differs (see metadata),,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,RO,Romania,2018,,29,,d,definition differs (see metadata),,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,RO,Romania,2020,,37,,d,definition differs (see metadata),,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,SE,Sweden,2010,,51,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,SE,Sweden,2012,,53,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,SE,Sweden,2014,,51,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,SE,Sweden,2016,,49,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,SE,Sweden,2018,,50,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,SI,Slovenia,2010,,52,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,SI,Slovenia,2012,,74,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,SI,Slovenia,2014,,75,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,SI,Slovenia,2016,,80,,,,,
