STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AD,Andorra,2019,,76860,,e,estimated,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AD,Andorra,2022,,80562,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AD,Andorra,2023,,83345,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2000,,3060173,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2001,,3060169,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2002,,3051006,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2003,,3039612,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2004,,3026933,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2005,,3011482,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2006,,2992542,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2007,,2970011,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2008,,2947311,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2009,,2927515,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2010,,2913018,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2011,,2905185,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2012,,2900389,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2013,,2895082,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2014,,2889095,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2015,,2880694,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2016,,2876092,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2017,,2873458,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2018,,2866376,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2019,,2854191,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2020,,2837848,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2021,,2811667,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AL,Albania,2022,,2777689,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2000,,3221100,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2001,,3214100,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2002,,3211600,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2003,,3211250,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2004,,3214000,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2005,,3217517,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2006,,3221094,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2007,,3226520,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2008,,3234031,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2009,,3243729,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2010,,3256066,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2011,,3268468,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2015,,3004588,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2016,,2992364,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2017,,2979442,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2018,,2969001,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2019,,2962482,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2020,,2961473,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AM,Armenia,2023,,2984166,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2000,,8011566,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2001,,8042293,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2002,,8081957,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2003,,8121423,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2004,,8171966,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2005,,8227829,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2006,,8268641,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2007,,8295487,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2008,,8321496,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2009,,8343323,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2010,,8363404,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2011,,8391643,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2012,,8429991,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2013,,8479823,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2014,,8546356,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2015,,8642699,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2016,,8736668,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2017,,8797566,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2018,,8840521,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2019,,8879920,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2020,,8916864,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2021,,8955797,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2022,,9041851,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AT,Austria,2023,,9131761,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2000,,8048600,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2001,,8111200,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2002,,8171950,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2003,,8234100,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2004,,8306500,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2005,,8391850,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2006,,8484550,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2007,,8581300,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2008,,8763400,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2009,,8947243,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2010,,9054332,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2011,,9173082,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2012,,9295784,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2013,,9416801,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2014,,9535079,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2015,,9649341,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2016,,9757812,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2017,,9854033,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2018,,9939771,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2019,,10024283,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2020,,10093121,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2021,,10137750,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2022,,10141756,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,AZ,Azerbaijan,2023,,10153958,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2000,,3771401,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2001,,3801442,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2002,,3821758,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2003,,3833882,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2004,,3839973,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2005,,3842591,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2006,,3843334,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2007,,3843932,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2008,,3843922,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2009,,3844022,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2010,,3843615,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2011,,3841224,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2012,,3837455,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2013,,3833278,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2014,,3828123,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2015,,3670658,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2016,,3512855,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2017,,3505012,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2018,,3496157,,p,provisional,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2022,,3452789,,p,provisional,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BA,Bosnia and Herzegovina,2023,,3429142,,p,provisional,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2000,,10251250,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2001,,10286570,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2002,,10332785,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2003,,10376133,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2004,,10421137,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2005,,10478617,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2006,,10547958,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2007,,10625700,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2008,,10709973,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2009,,10796493,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2010,,10895586,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2011,,11038264,,b,break in time series,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2012,,11106932,,b,break in time series,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2013,,11159407,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2014,,11209057,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2015,,11274196,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2016,,11331422,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2017,,11375158,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2018,,11427054,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2019,,11488980,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2020,,11538604,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2021,,11586195,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2022,,11680210,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BE,Belgium,2023,,11779946,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2000,,8170172,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2001,,8009142,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2002,,7837161,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2003,,7775327,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2004,,7716860,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2005,,7658972,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2006,,7601022,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2007,,7545338,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2008,,7492561,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2009,,7444443,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2010,,7395599,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2011,,7348328,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2012,,7305888,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2013,,7160005,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,AVG,Average population - total,BG,Bulgaria,2014,,7073572,,,,,
