STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,cons_fp,Consumption footprint,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2012,,106,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2013,,110,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2014,,113,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2015,,115,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2016,,112,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2017,,116,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2018,,115,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2019,,119,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2020,,118,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2021,,114,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2022,,117,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2023,,113,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2011,,98,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2012,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2013,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2014,,105,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2015,,111,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2016,,114,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2017,,114,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2018,,118,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2019,,123,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2020,,118,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2021,,124,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2022,,124,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BG,Bulgaria,2023,,126,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2011,,103,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2012,,105,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2013,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2014,,102,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2015,,103,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2016,,107,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2017,,111,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2018,,110,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2019,,110,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2020,,98,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2021,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2022,,109,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CY,Cyprus,2023,,113,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2011,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2012,,94,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2013,,92,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2014,,94,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2015,,97,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2016,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2017,,102,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2018,,104,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2019,,105,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2020,,102,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2021,,108,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2022,,112,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",CZ,Czechia,2023,,109,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2011,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2012,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2013,,104,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2014,,102,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2015,,98,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2016,,99,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2017,,98,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2018,,98,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2019,,97,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2020,,95,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2021,,92,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2022,,93,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DE,Germany,2023,,97,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2011,,102,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2012,,106,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2013,,104,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2014,,111,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2015,,115,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2016,,118,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2017,,119,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2018,,120,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2019,,120,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2020,,116,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2021,,114,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2022,,120,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",DK,Denmark,2023,,113,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2011,,99,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2012,,96,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2013,,95,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2014,,98,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2015,,103,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2016,,110,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2017,,110,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2018,,111,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2019,,113,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2020,,108,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2021,,109,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2022,,111,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EE,Estonia,2023,,109,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2011,,97,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2012,,92,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2013,,91,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2014,,88,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2015,,87,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2016,,87,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2017,,91,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2018,,97,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2019,,96,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2020,,87,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2021,,92,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2022,,96,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EL,Greece,2023,,97,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2011,,98,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2012,,97,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2013,,97,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2014,,99,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2015,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2016,,105,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2017,,105,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2018,,110,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2019,,110,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2020,,104,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2021,,115,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2022,,124,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",ES,Spain,2023,,122,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2011,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2012,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2013,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2014,,104,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2015,,105,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2016,,108,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2017,,111,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2018,,110,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2019,,111,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2020,,107,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2021,,110,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2022,,111,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",EU27_2020,European Union - 27 countries (from 2020),2023,,109,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2011,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2012,,104,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2013,,105,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2014,,105,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2015,,103,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2016,,103,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2017,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2018,,102,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2019,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2020,,98,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2021,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2022,,102,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FI,Finland,2023,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FR,France,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FR,France,2011,,98,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FR,France,2012,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FR,France,2013,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",FR,France,2014,,103,,,,,
