STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,cpatc,Cooperative patent classification,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2019,,17.53,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2020,,6.49,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2000,,26.46,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2001,,13.02,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2002,,19.82,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2003,,24.67,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2004,,23.62,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2005,,23.83,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2006,,8.51,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2007,,11.91,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2008,,9.63,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2009,,15.6,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2010,,9.45,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2011,,18.16,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2012,,16.09,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2013,,19.15,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2014,,12.83,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2015,,15.16,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2016,,18.03,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2017,,18.57,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2018,,15.75,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2019,,26.97,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AU,Australia,2020,,12.2,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2000,,10.46,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2001,,8.44,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2002,,8.57,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2003,,3.71,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2004,,8.46,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2005,,3.05,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2006,,5.3,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2007,,6.55,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2008,,7.86,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2009,,8.85,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2010,,14.03,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2011,,8.37,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2012,,8.92,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2013,,15.41,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2014,,12.15,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2015,,19.26,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2016,,16.26,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2017,,19.35,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2018,,16.08,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2019,,15.58,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BE,Belgium,2020,,5.49,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2000,,0,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2001,,0,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2002,,0,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2003,,0.33,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2004,,0,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2005,,0,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2006,,1,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2007,,1,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2008,,1,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2009,,1,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2010,,1,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2011,,1,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2012,,0,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2013,,0,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2014,,1.5,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2015,,0.5,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2016,,0.33,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2017,,0.22,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2018,,0.5,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2019,,0,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,BG,Bulgaria,2020,,0,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2000,,30.19,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2001,,23.14,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2002,,11.78,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2003,,20.63,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2004,,15.15,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2005,,16.13,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2006,,20.18,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2007,,14.86,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2008,,14.82,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2009,,11.38,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2010,,13.66,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2011,,13.28,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2012,,26.19,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2013,,28.58,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2014,,25.56,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2015,,27.6,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2016,,30.67,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2017,,41.6,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2018,,34.43,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2019,,53.94,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CA,Canada,2020,,9.81,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2000,,94.41,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2001,,72.33,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2002,,163.73,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2003,,210.82,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2004,,259.2,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2005,,418.46,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2006,,537.47,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2007,,726.15,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2008,,1042.99,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2009,,1150.84,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2010,,1309.17,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2011,,1438.25,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2012,,1799.65,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2013,,2209.13,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2014,,2831.07,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2015,,3784.02,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2016,,4718.05,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2017,,5214.09,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2018,,4664,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2019,,4265.28,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CN,China,2020,,5592.29,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CY,Cyprus,2000,,0,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CY,Cyprus,2001,,0.5,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CY,Cyprus,2002,,1.27,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CY,Cyprus,2003,,0.13,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CY,Cyprus,2004,,0,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,CY,Cyprus,2005,,0,,,,,
